period,rate_type,exchanges_included,base_asset,calc_window,partition_size,start_time,end_time
Q32018,real_time,"cbse,cexi,itbi,krkn,stmp",btc,120,12,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,cexi,itbi,krkn,stmp",btc,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,cexi,itbi,krkn,stmp",btc,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"cbse,krkn,stmp",eth,60,6,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,krkn,stmp",eth,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,krkn,stmp",eth,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"binc,bitz,hitb,huob,okex",btc,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"binc,exxa,hitb,huob,okex",eth,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"cbse,cexi,krkn,stmp",bch,60,6,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,cexi,krkn,stmp",bch,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,cexi,krkn,stmp",bch,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,cexi,krkn,stmp",bch,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"cbse,cexi,itbi,krkn,stmp",btc,120,12,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"cbse,cexi,itbi,krkn,stmp",btc,120,12,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"cbse,gmni,itbi,krkn,stmp",btc,15,3,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"cbse,gmni,itbi,krkn,stmp",btc,15,3,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,gmni,krkn,quon,stmp",btc,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"cbse,krkn,stmp",eth,60,6,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"cbse,krkn,stmp",eth,60,6,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"cbse,cexi,gmni,krkn,stmp",eth,60,6,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,cexi,gmni,krkn,stmp",eth,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,cexi,gmni,krkn,stmp",eth,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,cexi,gmni,krkn,stmp",eth,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,cexi,gmni,krkn,stmp",eth,900,90,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"cbse,krkn,stmp",ltc,30,3,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,krkn,stmp",ltc,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,krkn,stmp",ltc,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cbse,krkn,stmp",ltc,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"cexi,krkn,stmp",xrp,20,2,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cexi,krkn,stmp",xrp,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cexi,krkn,stmp",xrp,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cexi,krkn,stmp",xrp,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"cexi,gmni,krkn",zec,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cexi,gmni,krkn",zec,600,60,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cexi,gmni,krkn",zec,900,90,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"cexi,gmni,krkn",zec,1200,120,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"bfnx,ethx",ant,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,ethx",ant,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,ethx",ant,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,ethx",ant,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"bfnx,ethx",avt,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,ethx",avt,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,ethx",avt,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,ethx",avt,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"bfnx,ethx",bat,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,ethx",bat,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,ethx",bat,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,ethx",bat,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,ethx",bat,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"bfnx,cbse,cexi,stmp,wexn",bch,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,cbse,krkn,stmp,wexn",bch,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,cbse,krkn,stmp,wexn",bch,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,cbse,krkn,stmp,wexn",bch,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,cbse,krkn,stmp,wexn",bch,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,real_time,"bfnx,ethx",bnt,300,30,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,ethx",bnt,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
Q32018,index_fixing,"bfnx,ethx",bnt,3600,360,2018-09-17 22:30:00+00:00,2018-12-17 22:30:00+00:00
