period,rate_type,exchanges_included,base_asset,calc_window,partition_size,start_time,end_time
Q12023,index_fixing,"cbse,gmni,krkn,lmax,stmp",btc,3600,360,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,gmni,krkn,lmax,stmp",eth,3600,360,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"lmax,eris,stmp,itbi",btc,3600,360,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"lmax,eris,stmp,itbi",eth,3600,360,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,real_time,"bfly,cbse,krkn,lmax,stmp",btc,15,3,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"bfly,cbse,krkn,lmax,stmp",btc,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"bfly,cbse,krkn,lmax,stmp",btc,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,real_time,"binc,cbse,krkn,lmax,stmp",eth,15,3,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"binc,cbse,krkn,lmax,stmp",eth,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"binc,cbse,krkn,lmax,stmp",eth,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,real_time,"bbsp,bequ,hitb,kcon,okex",btc,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,real_time,"bequ,bgon,binc,hitb,kcon",btc,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,real_time,"bbsp,bequ,hitb,kcon,okex",eth,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,real_time,"bbsp,binc,hitb,kcon,okex",eth,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,real_time,"cbse,gmni,krkn",aave,60,6,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,gmni,krkn",aave,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,gmni,krkn",aave,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,gmni,krkn",aave,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,real_time,"cbse,cexi,gmni,krkn",api3,120,12,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,cexi,gmni,krkn",api3,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,cexi,gmni,krkn",api3,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,cexi,gmni,krkn",api3,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,real_time,"cbse,cexi,gmni,krkn,stmp",audio,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,cexi,gmni,krkn,stmp",audio,600,60,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,cexi,gmni,krkn,stmp",audio,900,90,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,cexi,gmni,krkn,stmp",audio,1800,180,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,real_time,"cbse,gmni,krkn,stmp",axs,60,6,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,gmni,krkn,stmp",axs,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,gmni,krkn,stmp",axs,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,gmni,krkn,stmp",axs,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,real_time,"cbse,cexi,gmni,krkn,stmp",bat,120,12,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,cexi,gmni,krkn,stmp",bat,1200,120,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,cexi,gmni,krkn,stmp",bat,1800,180,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,cexi,gmni,krkn,stmp",bat,1800,180,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,real_time,"cbse,gmni,krkn,lmax,stmp",bch,30,3,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,gmni,krkn,lmax,stmp",bch,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
Q12023,index_fixing,"cbse,gmni,krkn,lmax,stmp",bch,300,30,2023-03-20 21:10:05+00:00,2023-06-19 20:18:50+00:00
