period,rate_type,exchanges_included,base_asset,calc_window,partition_size,start_time,end_time
Q42016,real_time,"cbse,itbi,krkn,quon,stmp",btc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"cbse,itbi,krkn,quon,stmp",btc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"cbse,itbi,krkn,quon,stmp",btc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,polo,btc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,polo,eth,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,"cbse,itbi,krkn,quon,stmp",btc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,"cbse,itbi,krkn,quon,stmp",btc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,"cbse,gmni,itbi,okcn,stmp",btc,15,3,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"cbse,gmni,itbi,okcn,stmp",btc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,"cbse,gmni,itbi,okcn,stmp",btc,15,3,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"cbse,gmni,itbi,okcn,stmp",btc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"cbse,gmni,itbi,okcn,stmp",btc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"cbse,gmni,itbi,okcn,stmp",btc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,"cbse,gmni,krkn",eth,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"cbse,gmni,krkn",eth,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"cbse,gmni,krkn",eth,900,90,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"cbse,gmni,krkn",eth,900,90,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"cbse,gmni,krkn",eth,1800,180,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,"cbse,krkn,okcn",ltc,60,6,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"cbse,krkn,okcn",ltc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"cbse,krkn,okcn",ltc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"cbse,krkn,okcn",ltc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,"bfnx,cbse,okcn,stmp,wexn",btc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,"bfnx,cbse,okcn,stmp,wexn",btc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,cbse,quon,stmp,wexn",btc,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,cbse,quon,stmp,wexn",btc,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,cbse,itbi,stmp,wexn",btc,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,itbi,quon,stmp,wexn",btc,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,"bfnx,krkn",etc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,krkn",etc,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,krkn",etc,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,krkn",etc,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,krkn",etc,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,"bfnx,cbse,gmni,krkn,wexn",eth,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,"bfnx,cbse,gmni,krkn,wexn",eth,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,cbse,gmni,krkn,wexn",eth,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,cbse,gmni,krkn,wexn",eth,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,cbse,gmni,krkn,wexn",eth,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,cbse,gmni,krkn,wexn",eth,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,btby,lsk,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,btby,lsk,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,btby,lsk,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,btby,lsk,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,"bfnx,cbse,okcn,wexn",ltc,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,cbse,okcn,wexn",ltc,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,cbse,okcn,wexn",ltc,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,cbse,okcn,wexn",ltc,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,"bfnx,cbse,okcn,wexn",ltc,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,real_time,krkn,zec,300,30,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,krkn,zec,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,krkn,zec,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,krkn,zec,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
Q42016,index_fixing,krkn,zec,3600,360,2016-12-19 22:30:00+00:00,2017-03-20 22:30:00+00:00
