period,rate_type,exchanges_included,base_asset,calc_window,partition_size,start_time,end_time
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",btc,3600,360,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",eth,3600,360,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"lmax,eris,stmp,itbi",btc,3600,360,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"lmax,eris,stmp,itbi",eth,3600,360,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"bfly,cbse,krkn,lmax,stmp",btc,30,3,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"bfly,cbse,krkn,lmax,stmp",btc,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"bfly,cbse,krkn,lmax,stmp",btc,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,krkn,lmax,stmp",eth,20,2,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,krkn,lmax,stmp",eth,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,krkn,lmax,stmp",eth,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"bequ,binc,cbse,hitb,okex",btc,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"bequ,binc,hitb,okex,zbcn",btc,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"bbox,bequ,binc,cbse,hitb",eth,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"binc,hitb,huob,kcon,okex",eth,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn,stmp",aave,120,12,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,stmp",aave,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,stmp",aave,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,stmp",aave,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"gmni,krkn,stmp",audio,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"gmni,krkn,stmp",audio,600,60,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"gmni,krkn,stmp",audio,900,90,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"gmni,krkn,stmp",audio,1800,180,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn",axs,60,6,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",axs,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",axs,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",axs,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,cexi,gmni,krkn,stmp",bat,120,12,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn,stmp",bat,1200,120,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn,stmp",bat,1800,180,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn,stmp",bat,1800,180,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn,lmax,stmp",bch,30,3,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",bch,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",bch,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",bch,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"bfly,cbse,krkn,lmax,stmp",btc,30,3,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"bfly,cbse,krkn,lmax,stmp",btc,30,3,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn,stmp",btc,30,3,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn,stmp",btc,30,3,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn,lmax,stmp",btc,15,3,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",btc,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn,lmax,stmp",btc,15,3,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",btc,3600,360,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",btc,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",btc,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",btc,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn,stmp",crv,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,stmp",crv,600,60,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,stmp",crv,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,stmp",crv,600,60,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn",dai,120,12,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",dai,1200,120,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",dai,1800,180,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",dai,1800,180,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,cexi,krkn",dash,120,12,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,krkn",dash,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,krkn",dash,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,krkn",dash,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,krkn,lmax,stmp",eth,20,2,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,krkn,lmax,stmp",eth,20,2,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn,lmax,stmp",eth,60,6,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn,lmax,stmp",eth,60,6,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn,lmax,stmp",eth,15,3,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",eth,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",eth,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",eth,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",eth,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn",fil,60,6,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",fil,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",fil,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",fil,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn,stmp",link,20,2,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,stmp",link,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,stmp",link,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,stmp",link,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn,lmax,stmp",ltc,15,3,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",ltc,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",ltc,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,lmax,stmp",ltc,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn",mana,120,12,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",mana,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",mana,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",mana,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,cexi,gmni,krkn",matic,60,6,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn",matic,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn",matic,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn",matic,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn",oxt,60,6,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",oxt,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",oxt,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",oxt,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn",ren,120,12,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",ren,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",ren,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn",ren,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"btrx,gmni,krkn,stmp",sand,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"btrx,gmni,krkn,stmp",sand,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"btrx,gmni,krkn,stmp",sand,600,60,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"btrx,gmni,krkn,stmp",sand,600,60,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,cexi,gmni,krkn",snx,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn",snx,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn",snx,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn",snx,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn,stmp",storj,120,12,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,stmp",storj,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,stmp",storj,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,gmni,krkn,stmp",storj,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"btrx,cexi,krkn,okcn",trx,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"btrx,cexi,krkn,okcn",trx,900,90,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"btrx,cexi,krkn,okcn",trx,1200,120,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"btrx,cexi,krkn,okcn",trx,1200,120,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,cexi,gmni,krkn,stmp",uni,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn,stmp",uni,3600,360,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn,stmp",uni,3600,360,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn,stmp",uni,3600,360,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"btrx,gmni,krkn,stmp",usdc,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"btrx,gmni,krkn,stmp",usdc,3600,360,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"btrx,gmni,krkn,stmp",usdc,3600,360,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"btrx,gmni,krkn,stmp",usdc,3600,360,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,krkn,okcn",usdt,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,krkn,okcn",usdt,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,krkn,okcn",usdt,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,krkn,okcn",usdt,600,60,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,cexi,krkn,stmp",xlm,20,2,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,krkn,stmp",xlm,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,krkn,stmp",xlm,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,krkn,stmp",xlm,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cexi,cucy,krkn,lmax,stmp",xrp,15,3,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cexi,cucy,krkn,lmax,stmp",xrp,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cexi,cucy,krkn,lmax,stmp",xrp,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cexi,cucy,krkn,lmax,stmp",xrp,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,cexi,gmni,krkn",xtz,15,3,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn",xtz,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn",xtz,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,index_fixing,"cbse,cexi,gmni,krkn",xtz,300,30,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
Q12022,real_time,"cbse,gmni,krkn,stmp",yfi,120,12,2022-03-21 22:30:00+00:00,2022-06-20 22:30:00+00:00
