period,rate_type,exchanges_included,base_asset,calc_window,partition_size,start_time,end_time
Q12019,real_time,"cbse,cexi,krkn,quon,stmp",btc,120,12,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"cbse,cexi,krkn,quon,stmp",btc,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"cbse,cexi,krkn,quon,stmp",btc,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"cbse,krkn,stmp",eth,60,6,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"cbse,krkn,stmp",eth,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"cbse,krkn,stmp",eth,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"bequ,binc,cbse,polo",btc,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"binc,bitz,hitb,huob,okex",btc,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"binc,cbse,polo",eth,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"binc,bitz,hitb,huob,okex",eth,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"cbse,cexi,gmni,krkn,stmp",bch,60,6,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"btrx,cbse,cexi,krkn,stmp",bch,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"btrx,cbse,gmni,krkn,stmp",bch,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"cbse,cexi,gmni,krkn,stmp",bch,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"cbse,cexi,krkn,quon,stmp",btc,120,12,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"cbse,cexi,krkn,quon,stmp",btc,120,12,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"cbse,gmni,itbi,krkn,stmp",btc,15,3,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"cbse,gmni,itbi,krkn,stmp",btc,15,3,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"cbse,gmni,krkn,quon,stmp",btc,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"cbse,krkn,stmp",eth,60,6,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"cbse,krkn,stmp",eth,60,6,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"cbse,cexi,gmni,krkn,stmp",eth,30,3,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"cbse,cexi,gmni,krkn,stmp",eth,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"cbse,cexi,gmni,krkn,stmp",eth,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"cbse,cexi,gmni,krkn,stmp",eth,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"cbse,cexi,gmni,krkn,stmp",eth,600,60,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"btrx,cbse,gmni,krkn,stmp",ltc,30,3,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"btrx,cbse,gmni,krkn,stmp",ltc,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"btrx,cbse,gmni,krkn,stmp",ltc,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"btrx,cbse,gmni,krkn,stmp",ltc,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"btrx,krkn,okcn",usdt,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"btrx,krkn,okcn",usdt,900,90,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"btrx,krkn,okcn",usdt,900,90,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"btrx,krkn,okcn",usdt,900,90,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"btrx,cbse,cexi,krkn,stmp",xrp,20,2,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"btrx,cbse,cexi,krkn,stmp",xrp,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"btrx,cbse,cexi,krkn,stmp",xrp,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"btrx,cbse,cexi,krkn,stmp",xrp,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,real_time,"btrx,cexi,gmni,krkn",zec,300,30,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
Q12019,index_fixing,"btrx,cexi,gmni,krkn",zec,600,60,2019-03-18 22:30:00+00:00,2019-06-17 22:30:00+00:00
