period,rate_type,exchanges_included,base_asset,calc_window,partition_size,start_time,end_time
Q32023,index_fixing,"cbse,gmni,krkn,lmax,stmp",btc,3600,360,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,lmax,stmp",eth,3600,360,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"lmax,eris,stmp,itbi",btc,3600,360,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"lmax,eris,stmp,itbi",eth,3600,360,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"bfly,cbse,krkn,lmax,stmp",btc,15,3,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"bfly,cbse,krkn,lmax,stmp",btc,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"bfly,cbse,krkn,lmax,stmp",btc,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"binc,cbse,krkn,lmax,stmp",eth,15,3,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"binc,cbse,krkn,lmax,stmp",eth,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"binc,cbse,krkn,lmax,stmp",eth,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"bbsp,binc,bull,hitb,okex",btc,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"bbsp,bfrx,binc,mexc,okex",btc,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"bbsp,binc,bull,hitb,okex",eth,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"bbsp,bfrx,binc,mexc,okex",eth,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,itbi,krkn",aave,60,6,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,itbi,krkn",aave,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,itbi,krkn",aave,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,itbi,krkn",aave,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,cexi,krkn,stmp",ada,60,6,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,cexi,krkn,stmp",ada,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,cexi,krkn,stmp",ada,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,cexi,krkn,stmp",ada,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,krkn,stmp",algo,120,12,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,krkn,stmp",algo,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,krkn,stmp",algo,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,gmni,krkn",ankr,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",ankr,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",ankr,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,gmni,krkn",api3,120,12,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",api3,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",api3,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",api3,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,gmni,krkn,stmp",audio,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,stmp",audio,600,60,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,stmp",audio,900,90,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,stmp",audio,1800,180,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,krkn,stmp",avax,60,6,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,krkn,stmp",avax,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,krkn,stmp",avax,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,krkn,stmp",avax,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,gmni,krkn",axs,60,6,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",axs,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",axs,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",axs,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,gmni,krkn",bat,120,12,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",bat,1200,120,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",bat,1800,180,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",bat,1800,180,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,gmni,krkn,lmax,stmp",bch,30,3,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,lmax,stmp",bch,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,lmax,stmp",bch,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,lmax,stmp",bch,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"bfly,cbse,krkn,lmax,stmp",btc,15,3,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"bfly,cbse,krkn,lmax,stmp",btc,15,3,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"binc,cbse,krkn,lmax,stmp",btc,20,2,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,gmni,krkn,lmax,stmp",btc,15,3,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,gmni,krkn,lmax,stmp",btc,15,3,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,lmax,stmp",btc,3600,360,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,lmax,stmp",btc,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,lmax,stmp",btc,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,lmax,stmp",btc,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,gmni,krkn,stmp",chz,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,stmp",chz,600,60,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,stmp",chz,600,60,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,stmp",chz,600,60,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,gmni,krkn",crv,120,12,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",crv,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",crv,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",crv,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,gmni,krkn",dai,60,6,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",dai,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",dai,900,90,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn",dai,600,60,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,cexi,krkn",dash,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,cexi,krkn",dash,600,60,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,cexi,krkn",dash,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,cexi,krkn",dash,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,krkn,stmp",dot,120,12,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,krkn,stmp",dot,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,krkn,stmp",dot,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,krkn,stmp",dot,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"binc,cbse,krkn,lmax,stmp",eth,15,3,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,krkn,lmax,stmp",eth,20,2,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"binc,cbse,gmni,krkn,stmp",eth,60,6,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,gmni,krkn,lmax,stmp",eth,120,12,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,real_time,"cbse,gmni,krkn,lmax,stmp",eth,15,3,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
Q32023,index_fixing,"cbse,gmni,krkn,lmax,stmp",eth,300,30,2023-09-18 20:16:00+00:00,2023-12-18 22:33:20+00:00
