period,rate_type,exchanges_included,base_asset,calc_window,partition_size,start_time,end_time
Q22019,real_time,"cbse,krkn,quon,stmp",btc,120,12,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,index_fixing,"cbse,krkn,quon,stmp",btc,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,index_fixing,"cbse,krkn,quon,stmp",btc,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,real_time,"cbse,krkn,stmp",eth,60,6,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,index_fixing,"cbse,krkn,stmp",eth,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,index_fixing,"cbse,krkn,stmp",eth,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,real_time,"binc,cbse,cnex,polo",btc,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,real_time,"bbox,binc,bitz,huob,okex",btc,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,real_time,"binc,cbse,polo",eth,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,real_time,"bequ,hitb,huob,okex,zbcn",eth,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,real_time,"btrx,krkn,okcn",ada,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,index_fixing,"btrx,krkn,okcn",ada,600,60,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,index_fixing,"btrx,krkn,okcn",ada,900,90,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,index_fixing,"btrx,krkn,okcn",ada,900,90,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,real_time,"btrx,cbse,gmni,krkn,stmp",bch,60,6,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,index_fixing,"btrx,cbse,gmni,krkn,stmp",bch,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,index_fixing,"btrx,cbse,gmni,krkn,stmp",bch,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,index_fixing,"btrx,cbse,gmni,krkn,stmp",bch,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,real_time,"cbse,krkn,quon,stmp",btc,120,12,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,real_time,"cbse,krkn,quon,stmp",btc,120,12,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,real_time,"cbse,gmni,itbi,krkn,stmp",btc,15,3,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,real_time,"cbse,gmni,itbi,krkn,stmp",btc,15,3,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,index_fixing,"cbse,gmni,krkn,quon,stmp",btc,300,30,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
Q22019,real_time,"cbse,krkn,stmp",eth,60,6,2019-06-17 22:30:00+00:00,2019-09-23 22:30:00+00:00
