period,rate_type,exchanges_included,base_asset,calc_window,partition_size,start_time,end_time
Q12018,real_time,"cbse,cexi,krkn,quon,stmp",btc,120,12,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,cexi,krkn,quon,stmp",btc,300,30,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,cexi,krkn,quon,stmp",btc,300,30,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,real_time,"cbse,cexi,krkn,stmp",eth,60,6,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,cexi,krkn,stmp",eth,300,30,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,cexi,krkn,stmp",eth,300,30,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,real_time,"binc,btrx,hitb,huob,polo",btc,300,30,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,real_time,"binc,btrx,hitb,huob,polo",eth,300,30,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,cexi,krkn,stmp",bch,300,30,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,cexi,krkn,stmp",bch,300,30,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,cexi,krkn,stmp",bch,300,30,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,real_time,"cbse,cexi,krkn,quon,stmp",btc,120,12,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,real_time,"cbse,cexi,krkn,quon,stmp",btc,120,12,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,real_time,"cbse,gmni,itbi,krkn,stmp",btc,15,3,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,real_time,"cbse,gmni,itbi,krkn,stmp",btc,15,3,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,gmni,itbi,krkn,stmp",btc,300,30,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,gmni,krkn,quon,stmp",btc,300,30,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,real_time,"cbse,cexi,krkn,stmp",eth,60,6,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,real_time,"cbse,cexi,krkn,stmp",eth,60,6,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,real_time,"cbse,cexi,gmni,krkn,stmp",eth,120,12,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,cexi,gmni,krkn,stmp",eth,300,30,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,cexi,gmni,krkn,stmp",eth,600,60,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,cexi,gmni,krkn,stmp",eth,600,60,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,index_fixing,"cbse,cexi,gmni,krkn,stmp",eth,1200,120,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
Q12018,real_time,"cbse,krkn,stmp",ltc,60,6,2018-03-19 22:30:00+00:00,2018-06-18 22:30:00+00:00
