period,rate_type,exchanges_included,base_asset,calc_window,partition_size,start_time,end_time
Q32020,real_time,"bfly,cbse,krkn,lmax,stmp",btc,60,6,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,index_fixing,"bfly,cbse,krkn,lmax,stmp",btc,300,30,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,index_fixing,"bfly,cbse,krkn,lmax,stmp",btc,300,30,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,real_time,"cbse,cexi,krkn,lmax,stmp",eth,60,6,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,index_fixing,"cbse,cexi,krkn,lmax,stmp",eth,300,30,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,index_fixing,"cbse,cexi,krkn,lmax,stmp",eth,300,30,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,real_time,"binc,cbse,cnex,okex,polo",btc,300,30,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,real_time,"bequ,binc,hitb,huob,okex",btc,300,30,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,real_time,"binc,cbse,cnex,krkn,polo",eth,300,30,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,real_time,"bequ,binc,bitz,hitb,huob",eth,300,30,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,real_time,"btrx,cexi,krkn",ada,300,30,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,index_fixing,"btrx,cexi,krkn",ada,600,60,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,index_fixing,"btrx,cexi,krkn",ada,1200,120,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,index_fixing,"btrx,cexi,krkn",ada,1200,120,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,real_time,"btrx,cexi,gmni,krkn",bat,300,30,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,index_fixing,"btrx,cexi,gmni,krkn",bat,3600,360,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,index_fixing,"btrx,cexi,gmni,krkn",bat,3600,360,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
Q32020,index_fixing,"btrx,cexi,gmni,krkn",bat,3600,360,2020-09-21 22:30:00+00:00,2020-12-21 22:30:00+00:00
